web_id,url,title,type,price,deposit,private_owner,professional_name,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,subdistrict,postalcode,last_update
97857301,https://www.idealista.com/en/inmueble/97857301/,Flat / apartment for rent in calle de San Mateo,Flat,1800,,False,Rightplace Apartments,82,,1st,,,2,1,True,True,False,True,True,False,True,False,True,False,False,False,"Calle de San Mateo, Subdistrict Chueca-Justicia, District Centro, Madrid, Madrid city, Madrid",Centro,Chueca-Justicia,28004,3 November
99244456,https://www.idealista.com/en/inmueble/99244456/,Flat / apartment for rent in calle del Carmen,Flat,2950,,False,Rightplace Apartments,97,,3rd,,,4,2,True,True,False,True,True,False,True,False,False,False,False,False,"Calle del Carmen, Subdistrict Sol, District Centro, Madrid, Madrid city, Madrid",Centro,Sol,28013,3 November
99244318,https://www.idealista.com/en/inmueble/99244318/,Studio flat for rent in calle de los Relatores,Studio,635,,False,GRUPO ALQUILA,32,,ground,,,0,1,True,True,False,True,True,False,False,False,False,False,False,False,"Calle de los Relatores, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,7 November
99245825,https://www.idealista.com/en/inmueble/99245825/,Penthouse for rent in plaza De Los Mostenses,Penthouse,1580,1,False,Wolo,131,65,6th,1976,,1,1,True,True,False,True,True,True,True,True,False,False,False,False,"Plaza De Los Mostenses, Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,28015,19 October
99246638,https://www.idealista.com/en/inmueble/99246638/,Flat / apartment for rent in calle Gran Vía,Flat,3900,,False,aproperties real estate assets spain,160,,2nd,2022,south,2,2,True,True,False,True,True,True,True,True,True,False,False,False,"Calle Gran Vía, Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,,5 November
30472220,https://www.idealista.com/en/inmueble/30472220/,"Flat / apartment for rent in calle de Atocha, 74",Flat,1150,2,True,,65,,2nd,,,2,1,True,True,False,True,True,False,True,False,False,True,False,False,"Calle de Atocha, 74, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,30 October
99248969,https://www.idealista.com/en/inmueble/99248969/,"Flat / apartment for rent in calle de San Ildefonso, 28",Flat,900,,False,NIK INVERSIÓN Y GESTIÓN,26,21,2nd,2005,east,1,1,True,True,False,True,True,True,True,False,False,False,False,False,"Calle de San Ildefonso, 28, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,7 November
99230463,https://www.idealista.com/en/inmueble/99230463/,"Penthouse for rent in calle de Atocha, 20",Penthouse,2610,1,False,Be Premium Real Estate,59,,4th,,,1,1,True,True,False,True,True,True,True,False,True,False,False,False,"Calle de Atocha, 20, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,1 November
99252569,https://www.idealista.com/en/inmueble/99252569/,Flat / apartment for rent in calle de la Palma,Flat,2500,1,False,Grupo Marsapi,131,120,3rd,,east,1,2,True,True,False,True,True,True,False,False,True,False,False,False,"Calle de la Palma, Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,,27 October
99252282,https://www.idealista.com/en/inmueble/99252282/,Flat / apartment for rent in plaza de Santa Bárbara,Flat,3200,,False,Inmobiliaria HAM,200,190,2nd,1900,west,3,2,True,True,False,True,True,True,True,False,True,False,False,False,"Plaza de Santa Bárbara, Subdistrict Chueca-Justicia, District Centro, Madrid, Madrid city, Madrid",Centro,Chueca-Justicia,28004,1 November
99253474,https://www.idealista.com/en/inmueble/99253474/,Flat / apartment for rent in Palacio,Flat,4500,,False,BARNES International,100,,1st,1915,,3,3,True,True,False,False,False,False,True,False,True,False,False,False,", Subdistrict Palacio, District Centro, Madrid, Madrid city, Madrid",Centro,Palacio,,3 November
99253486,https://www.idealista.com/en/inmueble/99253486/,Flat / apartment for rent in puerta del Sol,Flat,3000,,False,The Home Hunter Madrid,180,177,3rd,1910,west,2,2,True,True,False,True,True,True,True,False,False,False,False,False,"Puerta del Sol, Subdistrict Sol, District Centro, Madrid, Madrid city, Madrid",Centro,Sol,,4 November
89614590,https://www.idealista.com/en/inmueble/89614590/,Flat / apartment for rent in plaza del Campillo del Mundo Nuevo,Flat,1845,,False,Diplomatic,105,,4th,2019,,2,2,True,True,True,True,True,True,True,False,False,False,True,False,"Plaza del Campillo del Mundo Nuevo, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28005,24 October
99257015,https://www.idealista.com/en/inmueble/99257015/,Flat / apartment for rent in Palacio,Flat,1400,,False,VIBA Real Estate,75,70,4th,,,1,1,True,True,False,True,True,True,True,False,True,False,False,False,", Subdistrict Palacio, District Centro, Madrid, Madrid city, Madrid",Centro,Palacio,,1 November
99257611,https://www.idealista.com/en/inmueble/99257611/,Studio flat for rent in calle del Olmo,Studio,1780,2,False,AC Gestores de Patrimonio,98,90,ground,,west,0,2,True,True,False,True,True,True,True,True,False,False,False,False,"Calle del Olmo, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,20 October
99267715,https://www.idealista.com/en/inmueble/99267715/,"Flat / apartment for rent in reyes, 11",Flat,1300,1,False,Solfai Consulting,70,60,4th,1991,west,1,1,True,True,False,True,True,True,False,False,False,False,False,False,"reyes, 11, Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,28015,28 October
99268342,https://www.idealista.com/en/inmueble/99268342/,Flat / apartment for rent in plaza de Santa Bárbara,Flat,3200,,False,aproperties real estate assets spain,200,,2nd,,east,4,2,True,True,False,True,True,True,False,False,True,False,False,False,"Plaza de Santa Bárbara, Subdistrict Chueca-Justicia, District Centro, Madrid, Madrid city, Madrid",Centro,Chueca-Justicia,28004,5 November
99268557,https://www.idealista.com/en/inmueble/99268557/,Flat / apartment for rent in Malasaña-Universidad,Flat,2400,,False,Engel & Völkers Madrid,151,141,151,1915,,4,2,True,True,False,True,True,False,False,False,True,False,False,False,", Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,,5 November
90588976,https://www.idealista.com/en/inmueble/90588976/,Flat / apartment for rent in calle Santa María,Flat,1350,2,False,Modus Home Realtors,82,70,2nd,1900,west,1,1,True,True,False,True,True,True,True,False,True,False,False,False,"Calle Santa María, Subdistrict Huertas-Cortes, District Centro, Madrid, Madrid city, Madrid",Centro,Huertas-Cortes,28014,6 November
99242573,https://www.idealista.com/en/inmueble/99242573/,Studio flat for rent in calle de los abades,Studio,775,2,False,Spanish Home,33,30,ground,,west,0,1,True,True,False,True,True,True,False,False,False,False,False,False,"Calle de los abades, Subdistrict Lavapiés-Embajadores, District Centro, Madrid, Madrid city, Madrid",Centro,Lavapiés-Embajadores,28012,21 October
99269273,https://www.idealista.com/en/inmueble/99269273/,Flat / apartment for rent in calle de Alberto Aguilera,Flat,5800,,False,Atlanta Select Real Estate,250,240,5th,,,4,4,True,True,False,True,True,True,True,False,True,False,False,False,"Calle de Alberto Aguilera, Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,,4 November
99205425,https://www.idealista.com/en/inmueble/99205425/,Flat / apartment for rent in calle de Jesús del Valle,Flat,1350,2,False,Spanish Home,75,70,ground,,west,2,2,True,True,False,True,True,True,False,False,False,False,False,False,"Calle de Jesús del Valle, Subdistrict Malasaña-Universidad, District Centro, Madrid, Madrid city, Madrid",Centro,Malasaña-Universidad,28004,31 October
